sensor_id,timestamp,engine_temperature
1,2025-06-03T10:13:46.140034,17.14
1,2025-06-03T10:13:47.140034,89.46
1,2025-06-03T10:13:48.140034,89.46
1,2025-06-03T10:13:49.140034,89.46
1,2025-06-03T10:13:50.140034,21.96
1,2025-06-03T10:13:51.140034,89.46
1,2025-06-03T10:13:52.140034,24.48
1,2025-06-03T10:13:53.140034,25.55
1,2025-06-03T10:13:54.140034,26.96
1,2025-06-03T10:13:55.140034,27.97
1,2025-06-03T10:13:56.140034,29.29
1,2025-06-03T10:13:57.140034,30.31
1,2025-06-03T10:13:58.140034,31.4
1,2025-06-03T10:13:59.140034,32.41
1,2025-06-03T10:14:00.140034,33.42
1,2025-06-03T10:14:01.140034,34.53
1,2025-06-03T10:14:02.140034,35.73
1,2025-06-03T10:14:03.140034,37.22
1,2025-06-03T10:14:04.140034,38.41
1,2025-06-03T10:14:05.140034,39.69
1,2025-06-03T10:14:06.140034,89.46
1,2025-06-03T10:14:07.140034,42.35
1,2025-06-03T10:14:08.140034,43.64
1,2025-06-03T10:14:09.140034,89.46
1,2025-06-03T10:14:10.140034,46.23
1,2025-06-03T10:14:11.140034,47.52
1,2025-06-03T10:14:12.140034,89.46
1,2025-06-03T10:14:13.140034,50.33
1,2025-06-03T10:14:14.140034,51.69
1,2025-06-03T10:14:15.140034,52.81
1,2025-06-03T10:14:16.140034,54.18
1,2025-06-03T10:14:17.140034,55.39
1,2025-06-03T10:14:18.140034,56.86
1,2025-06-03T10:14:19.140034,57.95
1,2025-06-03T10:14:20.140034,59.29
1,2025-06-03T10:14:21.140034,60.75
1,2025-06-03T10:14:22.140034,61.88
1,2025-06-03T10:14:23.140034,89.46
1,2025-06-03T10:14:24.140034,64.17
1,2025-06-03T10:14:25.140034,65.24
1,2025-06-03T10:14:26.140034,66.51
1,2025-06-03T10:14:27.140034,67.52
1,2025-06-03T10:14:28.140034,68.8
1,2025-06-03T10:14:29.140034,70.1
1,2025-06-03T10:14:30.140034,71.56
1,2025-06-03T10:14:31.140034,72.94
1,2025-06-03T10:14:32.140034,74.42
1,2025-06-03T10:14:33.140034,89.46
1,2025-06-03T10:14:34.140034,76.74
1,2025-06-03T10:14:35.140034,89.46
1,2025-06-03T10:14:36.140034,78.84
1,2025-06-03T10:14:37.140034,89.46
1,2025-06-03T10:14:38.140034,80.89
1,2025-06-03T10:14:39.140034,82.13
1,2025-06-03T10:14:40.140034,83.58
1,2025-06-03T10:14:41.140034,84.86
1,2025-06-03T10:14:42.140034,86.16
1,2025-06-03T10:14:43.140034,87.38
1,2025-06-03T10:14:44.140034,88.74
1,2025-06-03T10:14:45.140034,89.98
1,2025-06-03T10:14:46.140034,90.0
1,2025-06-03T10:14:47.140034,90.0
1,2025-06-03T10:14:48.140034,90.0
1,2025-06-03T10:14:49.140034,90.0
1,2025-06-03T10:14:50.140034,90.0
1,2025-06-03T10:14:51.140034,90.0
