sensor_id,timestamp,speed
2,2025-06-03T10:13:47.140034,0.0
2,2025-06-03T10:13:48.140034,2.73
2,2025-06-03T10:13:49.140034,6.29
2,2025-06-03T10:13:50.140034,8.88
2,2025-06-03T10:13:51.140034,12.1
2,2025-06-03T10:13:52.140034,15.97
2,2025-06-03T10:13:53.140034,18.95
2,2025-06-03T10:13:54.140034,22.37
2,2025-06-03T10:13:55.140034,25.11
2,2025-06-03T10:13:56.140034,29.38
2,2025-06-03T10:13:57.140034,32.51
2,2025-06-03T10:13:58.140034,29.65
2,2025-06-03T10:13:59.140034,33.2
2,2025-06-03T10:14:00.140034,30.37
2,2025-06-03T10:14:01.140034,29.25
2,2025-06-03T10:14:02.140034,33.6
2,2025-06-03T10:14:03.140034,30.11
2,2025-06-03T10:14:04.140034,28.11
2,2025-06-03T10:14:05.140034,32.42
2,2025-06-03T10:14:06.140034,28.98
2,2025-06-03T10:14:07.140034,32.66
2,2025-06-03T10:14:08.140034,36.89
2,2025-06-03T10:14:09.140034,39.67
2,2025-06-03T10:14:10.140034,42.72
2,2025-06-03T10:14:11.140034,47.17
2,2025-06-03T10:14:12.140034,51.53
2,2025-06-03T10:14:13.140034,50.41
2,2025-06-03T10:14:14.140034,46.74
2,2025-06-03T10:14:15.140034,50.47
2,2025-06-03T10:14:16.140034,48.56
2,2025-06-03T10:14:17.140034,52.88
2,2025-06-03T10:14:18.140034,50.35
2,2025-06-03T10:14:19.140034,46.78
2,2025-06-03T10:14:20.140034,49.94
2,2025-06-03T10:14:21.140034,52.51
2,2025-06-03T10:14:22.140034,48.8
2,2025-06-03T10:14:23.140034,51.89
2,2025-06-03T10:14:24.140034,49.7
2,2025-06-03T10:14:25.140034,54.01
2,2025-06-03T10:14:26.140034,51.11
2,2025-06-03T10:14:27.140034,47.67
2,2025-06-03T10:14:28.140034,50.81
2,2025-06-03T10:14:29.140034,55.11
2,2025-06-03T10:14:30.140034,59.15
2,2025-06-03T10:14:31.140034,62.38
2,2025-06-03T10:14:32.140034,65.46
2,2025-06-03T10:14:33.140034,69.32
2,2025-06-03T10:14:34.140034,73.74
2,2025-06-03T10:14:35.140034,71.01
2,2025-06-03T10:14:36.140034,67.46
2,2025-06-03T10:14:37.140034,70.39
